,,,,Total no.of levels = 15,,,,,
6,Consumption out of home produce-Value(Rs.),5.1/5.2/5.3/6.1/6.2/6.3/6.4/6.5/6.6/6.7/6.8,All,4,8,55, -,62,
7,Total Consumption--Quantity(0.000),5.1/5.2/5.3/6.1/6.2/6.3/6.4/6.5/6.6/6.7/6.8,All,5,10,63, -,72,
8,Total Consumption--Value(Rs.),5.1/5.2/5.3/6.1/6.2/6.3/6.4/6.5/6.6/6.7/6.8,All,6,8,73, -,80,
9,Source,5.1/5.2/5.3/6.1/6.2/6.3/6.4/6.5/6.6/6.7/6.8,All,7,1,81, -,81,
10,Multiplier,,,,15,82,-,96,
,,,,,,,,,
,Ques FDQ LEVEL - 06 (Section 7),,,,,,,,File Name: hces24_lvl_06.txt
,,,,,,,,,
Sl.No.,Item,Blk,Item,Col,Len,Byte Position,,,Remarks
1,Common-ID,,,,38,1, -,38,Auto-duplicated
2,Questionnaire No.,,,,1,39, -,39," ""F"" Generated"
3,Level,,,,2,40, -,41," ""06"" Generated"
4,Item Code ,7.1/7.2,All,2,3,42, -,44,
5,Total Consumption-Quantity(0.000),7.1/7.2,All,3,10,45, -,54,
6,Total Consumption-Value(Rs.),7.1/7.2,All,4,8,55, -,62,
7,Source,7.1/7/2,All,5,1,63,-,63,
8,Multiplier,,,,15,64,,78,
,,,,,,,,,
,,,,,,,,,
,Ques CSQ   LEVEL - 07 (Section 4.2),,,,,,,,File Name: hces24_lvl_07.txt
,,,,,,,,,
Sl.No.,Item,Sec,Item,Col,Len,Byte Position,,,Remarks
1,Common-ID,,,,38,1, -,38,Auto-duplicated
2,Questionnaire No.,,,,1,39, -,39," ""C"" Generated"
3,Level,,,,2,40, -,41," ""07"" Generated"
4,Whether the household procured kerosene using ration card during last 30 days - Kerosene,4.2,4.2.0,,1,42, -,42,"""1/2 Selected"""
5,Whether household received subsidy on LPG cylinder during the last 3 months?,4.2,4.2.1,,1,43, -,43,"""1/2 Selected"""
6,If yes in Q4.2.1 Number of subsidized LPG cylinder received during the last 3 months preceding the date of survey (number) ,4.2,4.2.1,,2,44, -,45,
7,Whether household received free electricity during the last 30 days,4.2,4.2.2,,1,46, -,46,"""1/2 Selected"""
8,Whether any household member is attending/attended educational institution during last 365 days,4.2,4.2.3,,1,47, -,47,"""1/2 Selected"""
9,If Code 1 in Q4.2.3 Number attending /attended Govt. Institution ?,4.2,4.2.3,,3,48, -,50,
10,If Code 1 in Q4.2.3 Number  attending /attended Private Institution ?,4.2,4.2.3,,3,51, -,53,
11,[Checkbox] If Code 1 in Q4.2.3 whether any member of the household received following items free in last 365 days : Textbooks ? ,4.2,4.2.4-1,,1,54, -,54,"""1 if checked/ticked, blank otherwise"""
12,Total no. of free textbooks received,4.2,4.2.4-1,,3,55,,57,
13,"[Checkbox] If Code 1 in Q4.2.3 whether any member of the household received following items free in last 365 days : Stationary (pen,notepad etc.) ? ",4.2,4.2.4-2,,1,58, -,58,"""1 if checked/ticked, blank otherwise"""
14,Total no. of free stationaries received,4.2,4.2.4-2,,3,59,,61,
15,[Checkbox] If Code 1 in Q4.2.3 whether any member of the household received following items free in last 365 days : School Bag ? ,4.2,4.2.4-3,,1,62, -,62,"""1 if checked/ticked, blank otherwise"""
16,Total no. of free school bags received,4.2,4.2.4-3,,3,63,,65,
17,[Checkbox] If Code 1 in Q4.2.3 whether any member of the household received following items free in last 365 days : Others ? ,4.2,4.2.4-4,,1,66, -,66,"""1 if checked/ticked, blank otherwise"""
18,Total no. of free other items received,4.2,4.2.4-4,,3,67,,69,
19,If Code 1 in Q4.2.3 Whether Any member received reimbursement/waiver of school/clg. Fee during last 365 days ?,4.2,4.2.6,,1,70, -,70,"""1/2 Selected"""
20,If Code 1 in Q4.2.6 Number of member received reimbursement/waiver  ?,4.2,4.2.6,,2,71, -,72,
21,Is one or more member of the household a benificiary of Pradhan Mantri Jan Aarogya Yojana (Ayushman Bharat) or any other state specific public health scheme as on the date of survey,4.2,4.2.7,,1,73, -,73,"""1/2 Selected"""
22,If Code 1 in Q4.2.7 Number of beneficiaries ?,4.2,4.2.7,,2,74, -,75,
23,Whether there was any case of hospitalization in the household during last 365 days?,4.2,4.2.8,,1,76, -,76,"""1/2/3/4 Selected"""
24,Whether one or more member of the household has received benefits of medical treatment (medical – hospitalisation)under Pradhan Mantri Jan Aarogya Yojana Card (Ayushman Bharat) or any other state specific public health scheme during the last 365 days,4.2,4.2.9,,1,77, -,77,"""1/2 Selected"""
25,If yes in Q4.2.9 number of member received benifit ?,4.2,4.2.9,,2,78, -,79,
26,If yes in Q4.2.9 Amount ?,4.2,4.2.9,,8,80, -,87,
27,Whether any online purchase/payment has been made during the reference period to buy - Fuel & light,4.2,4.2.10-1,,1,88, -,88,"""1 if checked/ticked, blank otherwise"""
28,Whether any online purchase/payment has been made during the reference period to buy - Toilet articles & other household consumables,4.2,4.2.10-2,,1,89, -,89,"""1 if checked/ticked, blank otherwise"""
29,Whether any online purchase/payment has been made during the reference period to buy - Education,4.2,4.2.10-3,,1,90, -,90,"""1 if checked/ticked, blank otherwise"""
30,Whether any online purchase/payment has been made during the reference period to buy- Medicine & other medical services,4.2,4.2.10-4,,1,91, -,91,"""1 if checked/ticked, blank otherwise"""
31,"Whether any online purchase/payment has been made during the reference period to buy- Services (Travel, Recharges, Bill payment, Cinema/Theatre, internet, etc.) ",4.2,4.2.10-5,,1,92, -,92,"""1 if checked/ticked, blank otherwise"""
#REF!,Multiplier,,,,15,93, -,107,
,,,,,,,,,
,,,,,,,,,
,Ques. CSQ  LEVEL - 08 (Section 8.1),,,,,,,,File Name: hces24_lvl_08.txt
,,,,,,,,,
Sl.No.,Item,Sec,Item,Col,Len,Byte Position,,,Remarks
1,Common-ID,,,,38,1, -,38,Auto-duplicated
2,Questionnaire No.,,,,1,39, -,39," ""C"" Generated"
3,Level,,,,2,40, -,41," ""08"" Generated"
4,Item Code ,8.1,All,2,3,42, -,44,
5,Consumption out of home produce--Quantity(0.000),8.1,All,3,10,45, -,54,
6,Consumption out of home produce--Value(Rs.),8.1,All,4,8,55, -,62,
7,Total Consumption--Quantity(0.000),8.1,All,5,10,63, -,72,
8,Total Consumption--Value(Rs.),8.1,All,6,8,73, -,80,
9,Source,8.1,All,7,1,81, -,81,
10,Multiplier,,,,15,82,-,96,
,,,,,,,,,
,Ques. CSQ   LEVEL - 09 (Section 9 & 10 & 11),,,,,,,,File Name: hces24_lvl_09.txt
,,,,,,,,,
Sl.No.,Item,Sec,Item,Col,Len,Byte Position,,,Remarks
1,Common-ID,,,,38,1, -,38,Auto-duplicated
2,Questionnaire No.,,,,1,39, -,39," ""C"" Generated"
3,Level,,,,2,40, -,41," ""09"" Generated"
4,Item Code ,9.1/9.2/10.1/10.2/10.3/11.1/11.2/11.3/11.4,All,2,3,42, -,44,
5,Value(Rs.),9.1/9.2/10.1/10.2/10.3/11.1/11.2/11.3/11.4,All,3,8,45, -,52,
6,Multiplier,,,,15,53,-,67,
,,,,,,,,,
,Ques. CSQ   LEVEL - 10 (Section 12),,,,,,,,File Name: hces24_lvl_10.txt
Sl.No.,Item,Sec,Item,Col,Len,Byte Position,,,Remarks
1,Common-ID,,,,38,1, -,38,Auto-duplicated
2,Questionnaire No.,,,,1,39, -,39," ""C"" Generated"
3,Level,,,,2,40, -,41," ""10"" Generated"
4,Item Code ,12.1/12.2/12.3,All,2,3,42, -,44,
5,Consumption out of home produce--Quantity(0.000),12.1/12.2/12.3,All,3,10,45, -,54,
6,Consumption out of home produce--Value(Rs.),12.1/12.2/12.3,All,4,8,55, -,62,
7,Total Consumption--Quantity(0.000),12.1/12.2/12.3,All,5,10,63, -,72,
8,Total Consumption--Value(Rs.),12.1/12.2/12.3,All,6,8,73, -,80,
9,Source,12.1/12.2/12.3,All,7,1,81, -,81,
10,Multiplier,,,,15,82,-,96,
,,,,,,,,,
,Ques. DGQ   LEVEL - 11 (Section 4.3),,,,,,,,File Name: hces24_lvl_11.txt
Sl.No.,Item,Sec,Item,Col,Len,Byte Position,,,Remarks
1,Common-ID,,,,38,1, -,38,Auto-duplicated
2,Questionnaire No.,,,,1,39, -,39," ""D"" Generated"
3,Level,,,,2,40, -,41," ""11"" Generated"
4,Which online item purchased/Paid during last 365 days - Clothing,4.3,4.3.1-1,,1,42, -,42,"""1 if checked/ticked, blank otherwise"""
5,Which online item purchased/Paid during last 365 days- Footwear,4.3,4.3.1-2,,1,43, -,43,"""1 if checked/ticked, blank otherwise"""
6,Which online item purchased/Paid during last 365 days - Furniture & fixtures,4.3,4.3.1-3,,1,44, -,44,"""1 if checked/ticked, blank otherwise"""
7,Which online item purchased/Paid during last 365 days - Mobile handset,4.3,4.3.1-4,,1,45, -,45,"""1 if checked/ticked, blank otherwise"""
8,"Which online item purchased/Paid during last 365 days- Personal goods (laptop/PC, tablet, clock, watch, spectacles, contact 
lenses, etc.)",4.3,4.3.1-5,,1,46, -,46,"""1 if checked/ticked, blank otherwise"""
9,"Which online item purchased/Paid during last 365 days- Goods for recreation (TV, camera, pen-drive, musical instruments, 
etc.) 
",4.3,4.3.1-6,,1,47, -,47,"""1 if checked/ticked, blank otherwise"""
10,Which online item purchased/Paid during last 365 days -Cooking & other household appliances ,4.3,4.3.1-7,,1,48, -,48,"""1 if checked/ticked, blank otherwise"""
11,Which online item purchased/Paid during last 365 days - Crockery & utensils,4.3,4.3.1-8,,1,49, -,49,"""1 if checked/ticked, blank otherwise"""
12,Which online item purchased/Paid during last 365 days - Sports goods,4.3,4.3.1-9,,1,50, -,50,"""1 if checked/ticked, blank otherwise"""
13,Which online item purchased/Paid during last 365 days- Medical equipment,4.3,4.3.1-10,,1,51, -,51,"""1 if checked/ticked, blank otherwise"""
14,Which online item purchased/Paid during last 365 days- Bedding,4.3,4.3.1-11,,1,52, -,52,"""1 if checked/ticked, blank otherwise"""
15,[Checkbox] : Whether One or more member of the household received items free of cost  during last 365 days: Laptop/PC,4.3,4.3.2-1,,1,53, -,53,"""1 if checked/ticked, blank otherwise"""
16,Total number of free Laptop/PC,4.3,4.3.2-1,,3,54, -,56,"""1 if checked/ticked, blank otherwise"""
17,[Checkbox] : Whether One or more member of the household received items free of cost  during last 365 days: Tablet,4.3,4.3.2-2,,1,57, -,57,"""1 if checked/ticked, blank otherwise"""
18,Total number of free Tablet,4.3,4.3.2-2,,3,58, -,60,"""1 if checked/ticked, blank otherwise"""
19,[Checkbox] : Whether One or more member of the household received items free of cost  during last 365 days : Mobile,4.3,4.3.2-3,,1,61, -,61,"""1 if checked/ticked, blank otherwise"""
20,Total number of free Mobile,4.3,4.3.2-3,,3,62, -,64,"""1 if checked/ticked, blank otherwise"""
21,[Checkbox] : Whether One or more member of the household received items free of cost  during last 365 days : Bicycle,4.3,4.3.2-4,,1,65, -,65,"""1 if checked/ticked, blank otherwise"""
22,Total number of free Bicycle,4.3,4.3.2-4,,3,66, -,68,"""1 if checked/ticked, blank otherwise"""
23,[Checkbox] : Whether One or more member of the household received items free of cost  during last 365 days : Motorcycle/Scooty,4.3,4.3.2-5,,1,69, -,69,"""1 if checked/ticked, blank otherwise"""
24,Total number of free Motorcycle/Scooty,4.3,4.3.2-5,,3,70, -,72,"""1 if checked/ticked, blank otherwise"""
25,[Checkbox] : Whether One or more member of the household received items free of cost  during last 365 days: Clothing (Schooling uniform etc.),4.3,4.3.2-6,,1,73, -,73,"""1 if checked/ticked, blank otherwise"""
26,Total number of free Clothing (Schooling uniform etc.),4.3,4.3.2-6,,3,74, -,76,"""1 if checked/ticked, blank otherwise"""
27,[Checkbox] : Whether One or more member of the household received items free of cost  during last 365 days: Footwear (School shoe etc.),4.3,4.3.2-7,,1,77, -,77,"""1 if checked/ticked, blank otherwise"""
28,Total number of free Footwear (School shoe etc.),4.3,4.3.2-7,,3,78, -,80,"""1 if checked/ticked, blank otherwise"""
29,[Checkbox] : Whether One or more member of the household received items free of cost  during last 365 days: Other,4.3,4.3.2-8,,1,81, -,81,"""1 if checked/ticked, blank otherwise"""
30,Total number of free Other items,4.3,4.3.2-8,,3,82, -,84,"""1 if checked/ticked, blank otherwise"""
31,Whether household possessed one or more item as on the date of the survey- Television ,4.3,4.3.3-1,,1,85, -,85,"""1 if checked/ticked, blank otherwise"""
32,Whether household possessed one or more item as on the date of the survey- Radio,4.3,4.3.3-2,,1,86, -,86,"""1 if checked/ticked, blank otherwise"""
33,Whether household possessed one or more item as on the date of the survey - Laptop/PC,4.3,4.3.3-3,,1,87, -,87,"""1 if checked/ticked, blank otherwise"""
34,Whether household possessed one or more item as on the date of the survey- Mobile handset,4.3,4.3.3-4,,1,88, -,88,"""1 if checked/ticked, blank otherwise"""
35,Whether household possessed one or more item as on the date of the survey- Bicycle,4.3,4.3.3-5,,1,89, -,89,"""1 if checked/ticked, blank otherwise"""
36,"Whether household possessed one or more item as on the date of the survey- Motorcycle, scooter ",4.3,4.3.3-6,,1,90, -,90,"""1 if checked/ticked, blank otherwise"""
37,Whether household possessed one or more item as on the date of the survey- Motor car/jeep/van,4.3,4.3.3-7,,1,91, -,91,"""1 if checked/ticked, blank otherwise"""
38,Whether household possessed one or more item as on the date of the survey- Trucks,4.3,4.3.3-8,,1,92, -,92,"""1 if checked/ticked, blank otherwise"""
39,Whether household possessed one or more item as on the date of the survey - Animal cart,4.3,4.3.3-9,,1,93, -,93,"""1 if checked/ticked, blank otherwise"""
40,Whether household possessed one or more item as on the date of the survey- Refrigerator,4.3,4.3.3-10,,1,94, -,94,"""1 if checked/ticked, blank otherwise"""
41,Whether household possessed one or more item as on the date of the survey- Washing machine,4.3,4.3.3-11,,1,95, -,95,"""1 if checked/ticked, blank otherwise"""
42,Whether household possessed one or more item as on the date of the survey- Air conditioner/air cooler ,4.3,4.3.3-12,,1,96, -,96,"""1 if checked/ticked, blank otherwise"""
43,Type of multichannel television facility is used by the household as on the date of the survey,4.3,4.3.4,,1,97, -,97,
44,Multiplier,,,,15,98,-,112,
,,,,,,,,,
,Ques. DGQ   LEVEL - 12 (Section 13),,,,,,,,File Name: hces24_lvl_12.txt
Sl.No.,Item,Sec,Item,Col,Len,Byte Position,,,Remarks
1,Common-ID,,,,38,1, -,38,Auto-duplicated
2,Questionnaire No.,,,,1,39, -,39," ""D"" Generated"
3,Level,,,,2,40, -,41," ""12"" Generated"
4,Item Code,13.1 /13.2 /13.3,All,2,3,42, -,44,
5,Quantity (0.00),13.1 /13.2 /13.3,All,3,10,45, -,54,
6,Value (Rs.),13.1 /13.2 /13.3,All,4,8,55, -,62,
7,Multiplier,,,,15,63,-,77,
,,,,,,,,,
,Ques. DGQ   Level - 13 (Section 14),,,,,,,,File Name: hces24_lvl_13.txt
,,,,,,,,,
Sl.No.,Item,Sec,Item,Col,Len,Byte Position,,,Remarks
1,Common-ID,,,,38,1, -,38,Auto-duplicated
2,Questionnaire No.,,,,1,39, -,39," ""D"" Generated"
3,Level,,,,2,40, -,41," ""13"" Generated"
4,Item Code ,14.1/14.2/14.3/14.4/14.5/14.6/14.7/14.8/14.9/14.10,All,2,3,42, -,44,
5, First-hand purchase:number,14.1/14.2/14.3/14.4/14.5/14.6/14.7/14.8/14.9/14.10,All,3,3,45, -,47,
6,Whether purchased on hire,14.1/14.2/14.3/14.4/14.5/14.6/14.7/14.8/14.9/14.10,All,4,1,48, -,48,
7, First-hand purchase:Value(Rs.),14.1/14.2/14.3/14.4/14.5/14.6/14.7/14.8/14.9/14.10,All,5,8,49, -,56,
8,Cost of repair & maintenance /cost of raw material and services for construction and repair(Rs.),14.1/14.2/14.3/14.4/14.5/14.6/14.7/14.8/14.9/14.10,All,6,8,57, -,64,Description is as per column 6 of respective sections.
9,2nd-hand purchase:Number,14.1/14.2/14.3/14.4/14.5/14.6/14.7/14.8/14.9/14.10,All,7,3,65, -,67,
10, 2nd-hand purchase:Value(Rs.),14.1/14.2/14.3/14.4/14.5/14.6/14.7/14.8/14.9/14.10,All,8,8,68, -,75,
11,Total expenditure(Rs.),14.1/14.2/14.3/14.4/14.5/14.6/14.7/14.8/14.9/14.10,All,9,8,76, -,83,
12,Multiplier,,,,15,84,-,98,
,,,,,,,,,
,"Ques. FDQ/CSQ/DGQ, LEVEL - 14 (Section  A1,B1 & C1)",,,,,,,,File Name: hces24_lvl_14.txt
Sl.No.,Item,Sec,Item,Col,Len,Byte Position,,,Remarks
1,Common-ID,,,,38,1, -,38,Auto-duplicated
2,Questionnaire No.,,,,1,39, -,39," ""F/C/D"" Generated"
3,Level,,,,2,40, -,41," ""14"" Generated"
4,Section,A1/B1/C1,,,5,42, -,46,
5,Item Code,A1/B1/C1,,,3,47, -,49,
6,Value (in Rs),A1/B1/C1,,,8,50, -,57,
7,Multiplier,,,,15,58,-,72,
,,,,,,,,,
,,,,,,,,,
,"Ques. HCQ/FDQ/CSQ/DGQ, LEVEL - 15 (Section 1.1, A2,B2 & C2)",,,,,,,,File Name: hces24_lvl_15.txt
Sl.No.,Item,Sec,Item,Col,Len,Byte Position,,,Remarks
1,Common-ID,,,,38,1, -,38,Auto-duplicated
2,Questionnaire No.,,,,1,39, -,39," ""F/C/D"" Generated"
,Visit,,,,1,40, -,40,
3,Level,,,,2,41, -,42," ""15"" Generated"
4,Section,,,,2,43, -,44,"""11/A2/B2/C2 Generated"""
5,Time taken to canvass the questionnaire (in minutes),1.1/A2/B2/C2,4,,3,45, -,47,
6,Household’s usual consumption expenditure in a month (in Rs.),A2/B2/C2,5,,8,48, -,55,
7,Total expenditure incurred on online purchase/payment in last 30 days,A2/B2/C2,6,,8,56, -,63,
8,Informant code,A2/B2/C2,7,,2,64, -,65,
9,Response code,A2/B2/C2,8,,1,66, -,66,
10,Household size,A2/B2/C2,9,,3,67, -,69,
,Visit Month,,,,6,70, -,75,
11,Multiplier,,,,15,76, -,90,
